citrusfruit,semi-finished bread,margarine,ready soups,butter,curd,grapes,pork,curd
beef,hamburger meat,frozen vegetables,wholemilk,nuts/prunes,,,,
beef,hamburger meat,grapes,domesticeggs,butter,frozen vegetables,,,
beef,hamburger meat,grapes,wholemilk,root vegetables,curd,,,
beef,hamburger meat,wholemilk,curd,,,,,
beef,hamburger meat,,,,,,,
beef,hamburger meat,,,,,,,
beef,hamburger meat,,,,,,,
beef,hamburger meat,,,,,,,
beef,hamburger meat,,,,,,,
beef,hamburger meat,,,,,,,
beef,hamburger meat,,,,,,,
beef,meat,beef,buttermilk,root vegetables,curd,,,
beef,meat,wholemilk,,tropicalfruit,soft cheese,,,
beef,meat,yogurt,,,,,,
beef,meat,,,,,,,
beef,meat,,,,,,,
beef,meat,,,,,,,
beef,meat,,,,,,,
beef,meat,,,,,,,
beef,meat,,,,,,,
beef,nut snack,curd,,tropicalfruit,frozen vegetables,,,
beef,nuts/prunes,butter,yogurt,,,,,
beef,packaged fruit/vegetables,wholemilk,,brownbread,root vegetables,,,
beef,packaged fruit/vegetables,wholemilk,yogurt,wholemilk,tropicalfruit,flour,root vegetables,root vegetables
beef,packaged fruit/vegetables,,,,,,,
beef,packaged fruit/vegetables,,,,,,,
beef,packaged fruit/vegetables,,,,,,,
beef,packaged fruit/vegetables,,,,,,,
beef,pork,butter,domesticeggs,beef,wholemilk,,,
beef,pork,flour,butter,wholemilk,,,,
beef,pork,other vegetables,citrusfruit,wholemilk,wholemilk,,,
beef,pork,root vegetables,,root vegetables,buttermilk,,,
beef,pork,root vegetables,,,,,,
beef,pork,spread cheese,wholemilk,wholemilk,domesticeggs,,,
beef,pork,,,,,,,
beef,pork,,,,,,,
beef,pork,,,,,,,
beef,rolls/buns,butter,domesticeggs,beef,,,,
beef,rolls/buns,buttermilk,brownbread,,,,,
beef,rolls/buns,citrusfruit,brownbread,wholemilk,yogurt,,,
beef,rolls/buns,citrusfruit,brownbread,,,,,
beef,rolls/buns,citrusfruit,butter,soft cheese,yogurt,,,
beef,rolls/buns,citrusfruit,wholemilk,yogurt,buttermilk,,,
beef,rolls/buns,frozen vegetables,curd,cereals,other vegetables,,,
beef,rolls/buns,frozen vegetables,,,,,,
beef,rolls/buns,grapes,butter,tropicalfruit,wholemilk,,,
beef,rolls/buns,meat spreads,curd,pork,wholemilk,,,
beef,rolls/buns,other vegetables,cereals,,,,,
beef,rolls/buns,other vegetables,wholemilk,fruit/vegetable juice,fruit/vegetable juice,wholemilk,root vegetables,root vegetables
beef,rolls/buns,pip fruit,citrusfruit,rolls/buns,other vegetables,,,
beef,rolls/buns,pip fruit,,,,,,
beef,rolls/buns,pip fruit,yogurt,nuts/prunes,yogurt,,,
beef,rolls/buns,root vegetables,wholemilk,,,,,
beef,rolls/buns,specialty chocolate,,tropicalfruit,,,,
beef,rolls/buns,wholemilk,,,,,,
beef,rolls/buns,wholemilk,wholemilk,root vegetables,yogurt,other vegetables,pip fruit,buttermilk
beef,rolls/buns,yogurt,wholemilk,wholemilk,,,,
beef,rolls/buns,yogurt,yogurt,,,,,
beef,rolls/buns,,,,,,,
beef,rolls/buns,,,,,,,
beef,rolls/buns,,,,,,,
beef,rolls/buns,,,,,,,
beef,rolls/buns,,,,,,,
beef,rolls/buns,,,,,,,
beef,rolls/buns,,,,,,,
beef,rolls/buns,,,,,,,
beef,rolls/buns,,,,,,,
beef,rolls/buns,,,,,,,
beef,rolls/buns,,,,,,,
beef,rolls/buns,,,,,,,
beef,rolls/buns,,,,,,,
beef,rolls/buns,,,,,,,
beef,root vegetables,butter,,,,,,
beef,root vegetables,buttermilk,brownbread,curd,brownbread,,,
beef,root vegetables,flour,,rolls/buns,wholemilk,,,
beef,root vegetables,other vegetables,beef,domesticeggs,frozen vegetables,,,
beef,root vegetables,pip fruit,wholemilk,,,,,
beef,root vegetables,pork,,,,,,
beef,root vegetables,root vegetables,grapes,,,,,
beef,root vegetables,root vegetables,,,,,,
beef,root vegetables,root vegetables,yogurt,buttermilk,wholemilk,,,
beef,root vegetables,root vegetables,,,,,,
beef,root vegetables,specialty chocolate,wholemilk,,,,,
beef,root vegetables,wholemilk,curd,tropicalfruit,other vegetables,,,
beef,root vegetables,wholemilk,,frozen vegetables,,,,
beef,root vegetables,wholemilk,yogurt,wholemilk,root vegetables,,,
beef,root vegetables,yogurt,brownbread,,,,,
beef,root vegetables,yogurt,yogurt,pork,other vegetables,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,root vegetables,,,,,,,
beef,soft cheese,pip fruit,brownbread,root vegetables,condensed milk,,,
beef,specialty cheese,wholemilk,wholemilk,wholemilk,wholemilk,,,
beef,spread cheese,,,,,,,
beef,tropicalfruit,cannedfish,wholemilk,butter,beef,,,
beef,tropicalfruit,chicken,,pork,pip fruit,,,
beef,tropicalfruit,condensed milk,cream,domesticeggs,grapes,,,
beef,tropicalfruit,hamburger meat,wholemilk,,,,,
beef,tropicalfruit,nut snack,yogurt,wholemilk,,,,
beef,tropicalfruit,other vegetables,,rolls/buns,curd,,,
beef,tropicalfruit,pork,,,,,,
beef,tropicalfruit,tropicalfruit,,root vegetables,root vegetables,,,
beef,tropicalfruit,wholemilk,,,,,,
beef,tropicalfruit,wholemilk,wholemilk,yogurt,yogurt,,,
beef,tropicalfruit,yogurt,,,,,,
beef,tropicalfruit,yogurt,yogurt,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,tropicalfruit,,,,,,,
beef,wholemilk,brownbread,,meat,tropicalfruit,,,
beef,wholemilk,buttermilk,,tropicalfruit,grapes,,,
beef,wholemilk,cannedfish,butter,curd,curd,canned vegetables,brownbread,butter
beef,wholemilk,citrusfruit,,yogurt,brownbread,,,
beef,wholemilk,cream,domesticeggs,,,,,
beef,wholemilk,curd,,,,,,
beef,wholemilk,domesticeggs,yogurt,,,,,
beef,wholemilk,frozen vegetables,,,,,,
beef,wholemilk,hamburger meat,grapes,,,,,
beef,wholemilk,other vegetables,,,,,,
beef,wholemilk,pip fruit,tropicalfruit,,,,,
beef,wholemilk,root vegetables,brownbread,yogurt,chicken,,,
beef,wholemilk,root vegetables,yogurt,,,,,
beef,wholemilk,specialty cheese,domesticeggs,tropicalfruit,other vegetables,,,
beef,wholemilk,tropicalfruit,tropicalfruit,,,,,
beef,wholemilk,wholemilk,curd,rolls/buns,butter,,,
beef,wholemilk,wholemilk,,beef,citrusfruit,,,
beef,wholemilk,wholemilk,,meat,hamburger meat,,,
beef,wholemilk,wholemilk,wholemilk,,,,,
beef,wholemilk,yogurt,butter,,,,,
beef,wholemilk,yogurt,butter,,,,,
beef,wholemilk,yogurt,domesticeggs,butter,wholemilk,other vegetables,specialty chocolate,wholemilk
beef,wholemilk,yogurt,wholemilk,rolls/buns,brownbread,,,
beef,wholemilk,yogurt,wholemilk,root vegetables,root vegetables,,,
beef,wholemilk,yogurt,yogurt,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,wholemilk,,,,,,,
beef,yogurt,brownbread,,,,,,
beef,yogurt,butter,wholemilk,,,,,
beef,yogurt,domesticeggs,butter,yogurt,root vegetables,,,
beef,yogurt,domesticeggs,,,,,,
beef,yogurt,frozen meals,,,,,,
beef,yogurt,frozen meals,wholemilk,frozen meals,,,,
beef,yogurt,other vegetables,,butter,grapes,,,
beef,yogurt,pip fruit,,meat,domesticeggs,,,
beef,yogurt,root vegetables,yogurt,frozen fish,pip fruit,,,
beef,yogurt,tropicalfruit,yogurt,cannedfish,frozen vegetables,,,
beef,yogurt,wholemilk,tropicalfruit,frozen meals,,,,
beef,yogurt,wholemilk,yogurt,rolls/buns,frozen vegetables,,,
beef,yogurt,yogurt,butter,root vegetables,spices,yogurt,wholemilk,curd
beef,yogurt,yogurt,wholemilk,grapes,,,,
beef,yogurt,,,,,,,
beef,yogurt,,,,,,,
beef,yogurt,,,,,,,
beef,yogurt,,,,,,,
berries,beef,buttermilk,wholemilk,wholemilk,yogurt,,,
berries,beef,wholemilk,butter,,,,,
berries,beef,wholemilk,domesticeggs,citrusfruit,tropicalfruit,,,
berries,beef,wholemilk,,wholemilk,wholemilk,,,
berries,brownbread,yogurt,,butter,yogurt,brownbread,other vegetables,nut snack
berries,brownbread,,,,,,,
berries,brownbread,,,,,,,
berries,butter,specialty chocolate,,tropicalfruit,root vegetables,,,
berries,butter,,,,,,,
berries,butter,,,,,,,
berries,butter,,,,,,,
berries,cannedfish,yogurt,wholemilk,root vegetables,yogurt,,,
berries,cannedfish,,,,,,,
berries,citrusfruit,frozen meals,curd cheese,cream cheese ,root vegetables,yogurt,citrusfruit,wholemilk
berries,citrusfruit,hamburger meat,wholemilk,fruit/vegetable juice,wholemilk,wholemilk,tropicalfruit,brownbread
berries,citrusfruit,pip fruit,wholemilk,citrusfruit,other vegetables,wholemilk,pip fruit,root vegetables
berries,citrusfruit,wholemilk,,buttermilk,other vegetables,,,
berries,citrusfruit,wholemilk,,,,,,
berries,citrusfruit,wholemilk,yogurt,rolls/buns,,,,
berries,citrusfruit,,,,,,,
berries,citrusfruit,,,,,,,
berries,citrusfruit,,,,,,,
berries,citrusfruit,,,,,,,
berries,citrusfruit,,,,,,,
berries,citrusfruit,,,,,,,
berries,curd,frozen vegetables,,grapes,cannedfish,,,
berries,curd,frozen vegetables,,wholemilk,pip fruit,wholemilk,brownbread,yogurt
berries,curd,yogurt,,yogurt,yogurt,,,
berries,curd,,,,,,,
berries,curd,,,,,,,
berries,domesticeggs,wholemilk,yogurt,,,,,
berries,frozen meals,,,,,,,
berries,frozen vegetables,,,,,,,
berries,fruit/vegetable juice,,,,,,,
berries,fruit/vegetable juice,,,,,,,
berries,fruit/vegetable juice,,,,,,,
berries,grapes,wholemilk,curd,tropicalfruit,other vegetables,,,
berries,hamburger meat,citrusfruit,,wholemilk,fruit/vegetable juice,butter,curd,tropicalfruit
berries,hamburger meat,pip fruit,,fruit/vegetable juice,tropicalfruit,,,
berries,hamburger meat,tropicalfruit,,,,,,
berries,hamburger meat,wholemilk,beef,,,,,
berries,meat,beef,wholemilk,,,,,
berries,meat,root vegetables,wholemilk,,,,,
berries,meat,,,,,,,
berries,meat,,,,,,,
berries,meat,,,,,,,
berries,meat spreads,yogurt,wholemilk,root vegetables,tropicalfruit,tropicalfruit,citrusfruit,grapes
,,,,wholemilk,other vegetables,,,
berries,packaged fruit/vegetables,,,,,,,
berries,pork,other vegetables,wholemilk,wholemilk,curd,,,
berries,pork,root vegetables,yogurt,,,,,
berries,pork,wholemilk,domesticeggs,,,,,
berries,pork,,,,,,,
berries,rolls/buns,beef,,curd,other vegetables,,,
berries,rolls/buns,curd,,,,,,
berries,rolls/buns,curd,wholemilk,,,,,
berries,rolls/buns,frozen meals,yogurt,wholemilk,pip fruit,domesticeggs,frozen potato products,wholemilk
berries,rolls/buns,other vegetables,wholemilk,brownbread,other vegetables,,,
berries,rolls/buns,wholemilk,curd,wholemilk,other vegetables,,,
berries,rolls/buns,wholemilk,wholemilk,,,,,
berries,rolls/buns,yogurt,yogurt,,,,,
berries,rolls/buns,,,,,,,
berries,rolls/buns,,,,,,,
berries,rolls/buns,,,,,,,
berries,rolls/buns,,,,,,,
berries,rolls/buns,,,,,,,
berries,rolls/buns,,,,,,,
berries,root vegetables,citrusfruit,wholemilk,brownbread,beef,,,
berries,root vegetables,pork,,,,,,
,,,yogurt,wholemilk,root vegetables,pip fruit,yogurt,domesticeggs
berries,root vegetables,spread cheese,wholemilk,grapes,other vegetables,curd,other vegetables,other vegetables
berries,root vegetables,,,,,,,
berries,root vegetables,,,,,,,
berries,root vegetables,,,,,,,
berries,root vegetables,,,,,,,
berries,root vegetables,,,,,,,
berries,root vegetables,,,,,,,
berries,root vegetables,,,,,,,
berries,root vegetables,,,,,,,
berries,spread cheese,,,,,,,
berries,tropicalfruit,condensed milk,tropicalfruit,yogurt,,,,
berries,tropicalfruit,frozen vegetables,wholemilk,tropicalfruit,other vegetables,,,
berries,tropicalfruit,root vegetables,yogurt,,,,,
berries,tropicalfruit,soft cheese,,cream cheese ,domesticeggs,,,
berries,tropicalfruit,wholemilk,wholemilk,wholemilk,wholemilk,,,
berries,tropicalfruit,yogurt,wholemilk,condensed milk,brownbread,,,
berries,tropicalfruit,yogurt,wholemilk,meat,other vegetables,,,
berries,tropicalfruit,,,,,,,
berries,tropicalfruit,,,,,,,
berries,tropicalfruit,,,,,,,
berries,tropicalfruit,,,,,,,
berries,tropicalfruit,,,,,,,
berries,wholemilk,butter,domesticeggs,,,,,
berries,wholemilk,curd,,tropicalfruit,buttermilk,root vegetables,wholemilk,pip fruit
berries,wholemilk,frozen vegetables,brownbread,,,,,
berries,wholemilk,other vegetables,buttermilk,tropicalfruit,domesticeggs,,,
berries,wholemilk,other vegetables,,cream cheese ,specialty cheese,,,
berries,wholemilk,wholemilk,brownbread,wholemilk,wholemilk,,,
berries,wholemilk,yogurt,wholemilk,rolls/buns,,,,
berries,wholemilk,,,,,,,
berries,wholemilk,,,,,,,
berries,wholemilk,,,,,,,
berries,wholemilk,,,,,,,
berries,wholemilk,,,,,,,
berries,wholemilk,,,,,,,
berries,wholemilk,,,,,,,
berries,wholemilk,,,,,,,
berries,wholemilk,,,,,,,
berries,wholemilk,,,,,,,
berries,wholemilk,,,,,,,
berries,yogurt,frozen vegetables,,root vegetables,yogurt,pip fruit,specialty chocolate,wholemilk
berries,yogurt,fruit/vegetable juice,yogurt,,,,,
berries,yogurt,other vegetables,brownbread,,,,,
berries,yogurt,other vegetables,,beef,hamburger meat,,,
berries,yogurt,root vegetables,,butter,,,,
berries,yogurt,,,,,,,
berries,yogurt,,,,,,,
berries,yogurt,,,,,,,
berries,yogurt,,,,,,,
berries,yogurt,,,,,,,
berries,yogurt,,,,,,,
brownbread,beef,pip fruit,wholemilk,pork,butter,,,
brownbread,beef,root vegetables,wholemilk,,,,,
brownbread,beef,,,,,,,
brownbread,brownbread,,,,,,,
brownbread,brownbread,,,,,,,
brownbread,citrusfruit,beef,,citrusfruit,yogurt,,,
brownbread,citrusfruit,other vegetables,brownbread,root vegetables,wholemilk,,,
brownbread,citrusfruit,other vegetables,citrusfruit,,,,,
brownbread,citrusfruit,pork,wholemilk,wholemilk,other vegetables,,,
brownbread,citrusfruit,root vegetables,,,,,,
brownbread,citrusfruit,,,,,,,
brownbread,cream cheese ,hamburger meat,wholemilk,yogurt,wholemilk,,,
brownbread,cream cheese ,tropicalfruit,tropicalfruit,yogurt,flour,,,
brownbread,cream cheese ,wholemilk,brownbread,root vegetables,condensed milk,other vegetables,pip fruit,buttermilk
brownbread,frozen vegetables,,,,,,,
brownbread,fruit/vegetable juice,,,,,,,
brownbread,meat,other vegetables,,,,,,
brownbread,pork,citrusfruit,buttermilk,grapes,root vegetables,,,
brownbread,pork,pip fruit,,citrusfruit,domesticeggs,,,
brownbread,pork,,,,,,,
brownbread,rolls/buns,butter,,wholemilk,wholemilk,,,
brownbread,rolls/buns,wholemilk,wholemilk,frozen vegetables,other vegetables,hamburger meat,,
brownbread,rolls/buns,yogurt,domesticeggs,,,,,
brownbread,rolls/buns,yogurt,,root vegetables,beef,domesticeggs,frozen meals,yogurt
brownbread,rolls/buns,yogurt,,butter,yogurt,,,
brownbread,rolls/buns,,,,,,,
brownbread,rolls/buns,,,,,,,
brownbread,rolls/buns,,,,,,,
brownbread,rolls/buns,,,,,,,
brownbread,rolls/buns,,,,,,,
brownbread,root vegetables,,,,,,,
brownbread,root vegetables,,,,,,,
brownbread,root vegetables,,,,,,,
brownbread,soft cheese,,,,,,,
brownbread,soft cheese,,,,,,,
brownbread,soft cheese,,,,,,,
brownbread,tropicalfruit,curd,,tropicalfruit,pork,,,
brownbread,tropicalfruit,other vegetables,butter,wholemilk,,,,
brownbread,tropicalfruit,pip fruit,yogurt,wholemilk,,,,
brownbread,tropicalfruit,root vegetables,curd,,,,,
brownbread,tropicalfruit,root vegetables,,tropicalfruit,grapes,,,
brownbread,tropicalfruit,root vegetables,,root vegetables,butter,,,
brownbread,tropicalfruit,yogurt,buttermilk,,,,,
brownbread,tropicalfruit,,,,,,,
brownbread,tropicalfruit,,,,,,,
brownbread,wholemilk,brownbread,brownbread,,,,,
brownbread,wholemilk,butter,wholemilk,,,,,
brownbread,wholemilk,other vegetables,brownbread,beef,specialty chocolate,,,
brownbread,wholemilk,other vegetables,domesticeggs,hamburger meat,,,,
brownbread,wholemilk,other vegetables,yogurt,rolls/buns,other vegetables,,,
brownbread,wholemilk,tropicalfruit,curd,yogurt,pip fruit,,,
brownbread,wholemilk,tropicalfruit,,,,,,
brownbread,wholemilk,,,,,,,
brownbread,wholemilk,,,,,,,
brownbread,wholemilk,,,,,,,
brownbread,yogurt,fruit/vegetable juice,citrusfruit,brownbread,,,,
brownbread,yogurt,yogurt,,,,,,
butter,beef,citrusfruit,wholemilk,,,,,
butter,beef,,,,,,,
butter,beef,,,,,,,
butter,brownbread,curd,butter,wholemilk,frozen vegetables,,,
butter,brownbread,,,,,,,
butter,butter,curd,domesticeggs,wholemilk,tropicalfruit,other vegetables,fruit/vegetable juice,root vegetables
butter,butter,fruit/vegetable juice,yogurt,pork,butter,,,
butter,cereals,other vegetables,curd,beef,curd,root vegetables,tropicalfruit,wholemilk
butter,citrusfruit,brownbread,,pork,chicken,,,
butter,citrusfruit,frozen vegetables,yogurt,,,,,
butter,citrusfruit,,,,,,,
butter,citrusfruit,,,,,,,
butter,condensed milk,,,,,,,
butter,cream cheese ,,,,,,,
butter,curd,yogurt,,rolls/buns,pip fruit,,,
butter,frozen meals,,,,,,,
butter,frozen meals,,,,,,,
butter,fruit/vegetable juice,pork,,wholemilk,yogurt,,,
butter,fruit/vegetable juice,soft cheese,yogurt,,,,,
butter,fruit/vegetable juice,wholemilk,,cream cheese ,pork,,,
butter,hamburger meat,grapes,yogurt,,,,,
butter,hamburger meat,other vegetables,yogurt,fruit/vegetable juice,wholemilk,,,
butter,hamburger meat,wholemilk,,fruit/vegetable juice,buttermilk,,,
butter,hamburger meat,,,,,,,
butter,packaged fruit/vegetables,butter,,citrusfruit,flour,,,
butter,packaged fruit/vegetables,domesticeggs,,,,,,
butter,pork,specialty cheese,wholemilk,root vegetables,wholemilk,,,
butter,pork,wholemilk,wholemilk,root vegetables,frozen meals,,,
butter,rolls/buns,brownbread,domesticeggs,brownbread,butter,,,
butter,rolls/buns,brownbread,,frozen vegetables,frozen meals,,,
butter,rolls/buns,cannedfish,yogurt,,,,,
butter,rolls/buns,chicken,yogurt,root vegetables,frozen fish,,,
butter,rolls/buns,citrusfruit,curd,,,,,
butter,rolls/buns,fruit/vegetable juice,wholemilk,fruit/vegetable juice,wholemilk,,,
butter,rolls/buns,other vegetables,beef,tropicalfruit,pip fruit,,,
butter,rolls/buns,other vegetables,domesticeggs,,,,,
butter,rolls/buns,,,,,,,
butter,rolls/buns,,,,,,,
butter,rolls/buns,,,,,,,
butter,rolls/buns,,,,,,,
butter,root vegetables,frozen fish,yogurt,,,,,
butter,root vegetables,frozen vegetables,,rolls/buns,frozen vegetables,,,
butter,root vegetables,root vegetables,,rolls/buns,beef,,,
butter,root vegetables,tropicalfruit,wholemilk,wholemilk,,,,
butter,root vegetables,wholemilk,,,,,,
butter,root vegetables,yogurt,citrusfruit,,,,,
butter,root vegetables,,,,,,,
butter,root vegetables,,,,,,,
butter,root vegetables,,,,,,,
butter,specialty cheese,yogurt,,,,,,
butter,tropicalfruit,domesticeggs,,frozen meals,fruit/vegetable juice,,,
butter,tropicalfruit,root vegetables,,,,,,
butter,tropicalfruit,yogurt,butter,brownbread,wholemilk,citrusfruit,,
butter,tropicalfruit,yogurt,domesticeggs,citrusfruit,curd,,,
butter,tropicalfruit,yogurt,,,,,,
butter,tropicalfruit,,,,,,,
butter,tropicalfruit,,,,,,,
butter,tropicalfruit,,,,,,,
butter,tropicalfruit,,,,,,,
butter,wholemilk,domesticeggs,wholemilk,citrusfruit,root vegetables,,,
butter,wholemilk,other vegetables,butter,wholemilk,spices,,,
butter,wholemilk,other vegetables,,,,,,
butter,wholemilk,other vegetables,,domesticeggs,,,,
butter,wholemilk,other vegetables,wholemilk,yogurt,wholemilk,,,
butter,wholemilk,,,,,,,
butter,wholemilk,,,,,,,
butter,wholemilk,,,,,,,
butter,wholemilk,,,,,,,
butter,wholemilk,,,,,,,
butter,wholemilk,,,,,,,
butter,yogurt,other vegetables,curd,root vegetables,yogurt,,,
butter,yogurt,other vegetables,,,,,,
butter,yogurt,other vegetables,yogurt,,,,,
butter,yogurt,root vegetables,domesticeggs,root vegetables,specialty chocolate,,,
butter,yogurt,wholemilk,,fruit/vegetable juice,yogurt,,,
butter,yogurt,,,,,,,
buttermilk,beef,yogurt,,,,,,
buttermilk,beef,,,,,,,
buttermilk,beef,,,,,,,
buttermilk,brownbread,canned fruit,yogurt,brownbread,other vegetables,other vegetables,grapes,hamburger meat
buttermilk,brownbread,,,,,,,
buttermilk,butter,,,,,,,
buttermilk,canned fruit,,,,,,,
